name,post_count,HNoise7676-9-7-2026
1girl,8123154
highres,7802349
solo,6825325
commentary_request,6136963
long_hair,5987102
breasts,4788723
looking_at_viewer,4722822
smile,4018437
blush,3962848
open_mouth,3371344
commentary,3067002
short_hair,3028490
absurdres,2837721
shirt,2802805
simple_background,2734659
blue_eyes,2388629
long_sleeves,2266792
white_background,2242064
large_breasts,2176985
black_hair,2119282
skirt,2107677
holding,2105242
blonde_hair,2099257
1boy,2049085
multiple_girls,2040406
brown_hair,2021774
hair_ornament,1989737
dress,1875326
gloves,1874172
closed_mouth,1872686
red_eyes,1719657
hair_between_eyes,1711599
animal_ears,1689511
bow,1662970
hat,1644656
navel,1549863
jewelry,1537941
original,1529816
thighhighs,1491917
jacket,1431555
bad_id,1424969
ribbon,1419281
2girls,1385411
cleavage,1366209
very_long_hair,1363819
white_shirt,1348066
bare_shoulders,1345209
standing,1286819
sitting,1269829
english_commentary,1257075
full_body,1227464
twintails,1197162
medium_breasts,1178648
blue_hair,1161126
green_eyes,1154110
purple_eyes,1152566
upper_body,1146804
tail,1146509
multicolored_hair,1128299
nipples,1103675
bad_pixiv_id,1090716
male_focus,1085598
collarbone,1071862
touhou,1071664
brown_eyes,1062685
school_uniform,1027863
closed_eyes,1019039
pink_hair,1015839
white_hair,1002714
underwear,992746
grey_hair,988996
yellow_eyes,982779
ahoge,934117
ponytail,932896
sidelocks,902277
braid,893744
purple_hair,887185
swimsuit,877359
short_sleeves,877104
heart,867343
flower,853834
monochrome,826291
:d,823944
earrings,821753
shoes,820000
cowboy_shot,819021
translation_request,813133
panties,801577
thighs,801267
weapon,789232
hair_ribbon,776006
hetero,771881
ass,768203
outdoors,767756
teeth,742498
sweat,740391
frills,739685
hair_bow,731473
open_clothes,727490
collared_shirt,726409
parted_lips,716892
pantyhose,716841
red_hair,711309
photoshop_(medium),709486
comic,708913
small_breasts,690076
pleated_skirt,688417
boots,680700
hairband,676533
pants,675544
nude,669909
bikini,669902
multiple_boys,669863
greyscale,668702
horns,661295
black_gloves,651616
translated,643369
necktie,637910
censored,636549
shorts,634572
alternate_costume,622919
virtual_youtuber,621959
sleeveless,610198
medium_hair,606810
lying,603010
food,602209
wings,601855
one_eye_closed,598269
choker,595489
artist_name,595426
sky,595424
pointy_ears,574501
penis,574347
green_hair,572311
detached_sleeves,568317
socks,558820
official_alternate_costume,540837
kantai_collection,539492
hand_up,537442
tongue,536924
indoors,531565
japanese_clothes,515690
official_art,515334
puffy_sleeves,506717
pussy,499131
belt,493519
black_thighhighs,492818
hairclip,492600
speech_bubble,490629
glasses,488055
barefoot,486195
solo_focus,486132
halo,484548
bowtie,469707
black_skirt,449063
2boys,447816
day,441918
fang,438884
white_dress,430211
blue_archive,429574
hood,426261
white_gloves,424941
signature,424768
twitter_username,417798
looking_at_another,416611
blunt_bangs,415907
streaked_hair,411681
pink_eyes,411419
tongue_out,404188
holding_weapon,401941
stomach,400398
fate_(series),399380
elbow_gloves,397176
sailor_collar,397107
pokemon,395301
cat_ears,394895
dark_skin,392933
midriff,391441
english_text,390422
hair_flower,385009
two-tone_hair,384967
cloud,384119
mole,383955
serafuku,383615
sex,379896
black_jacket,375286
miniskirt,370900
grey_background,369937
open_jacket,365930
coat,363802
chibi,363056
sword,362111
black_dress,361962
fingerless_gloves,361433
necklace,361260
hair_bun,358557
looking_back,355480
hair_over_one_eye,355221
black_shirt,353808
animal_ear_fluff,350337
wide_sleeves,348679
star_(symbol),346499
striped_clothes,346277
on_back,346189
grin,343345
spread_legs,340535
orange_hair,338568
white_thighhighs,334777
off_shoulder,333821
nail_polish,332513
cum,332215
kimono,331152
black_eyes,327429
from_side,321886
armpits,321457
commission,320001
from_behind,318718
bag,318437
hololive,318345
red_bow,317865
3girls,317483
sweatdrop,316881
yuri,315560
rabbit_ears,314028
huge_breasts,313363
vest,310006
genshin_impact,304299
leotard,303628
blurry,303058
parted_bangs,299894
fate/grand_order,298481
apron,297247
chinese_commentary,297077
armor,296640
character_name,296523
arm_up,294879
sweater,294462
mosaic_censoring,293556
cape,292763
black_pantyhose,290330
tears,289263
blue_sky,284382
water,282177
idolmaster,280859
high_heels,280426
completely_nude,279739
clothes_lift,279282
vaginal,278118
grey_eyes,277128
scarf,276023
crop_top,274323
looking_to_the_side,270043
bra,269325
collar,268536
hands_up,267591
feet,264284
fingernails,263847
